Object,Name,Description
"/CUM/CPEDT","/CUM/DSTYP",
"/CUM/CPEDT","AUFART","Order type"
"/CUM/CPEDT","IWERK","Planning plant"
"/CUM/EFEDT","/CUM/DSTYP",
"/CUM/EFEDT","AUFART","Order type"
"/CUM/EFEDT","IWERK","Planning plant"
"/CWM/C_ACT","ACTVT","Activity"
"/CWM/L_INV","ACTVT","Activity"
"/DSD/SL_TP","TPLST","Transportation planning point"
"/DSD/SL_WR","WERKS","Plant"
"/DSD/SV_LC","/DSD/LCROL",
"/DSD/SV_LC","ACTVT","Activity"
"/DSD/TOUR","/DSD/SCEN",
"/DSD/TOUR","ACTVT","Activity"
"/DSD/VC_VL","/DSD/VAUTH",
"/DSD/VC_VL","/DSD/VPTYP",
"/DSD/VC_VL","/DSD/VROUT",
"/DSD/VC_VL","ACTVT","Activity"
"/DSD/VC_VP","/DSD/VAUTH",
"/DSD/VC_VP","/DSD/VPTYP",
"/DSD/VC_VP","/DSD/VROUT",
"/DSD/VC_VP","ACTVT","Activity"
"/FSCAA/CSL","RFC_NAME","Name of RFC to be protected"
"/GC1/AUTH","/GC1/DATCO",
"/GC1/AUTH","/GC1/OBJNM",
"/GC1/AUTH","/GC1/OBJTP",
"/GC1/AUTH","ACTVT","Activity"
"/NFM/BOESL","ACTVT","Activity"
"/NFM/CO","ACTVT","Activity"
"/NFM/COND","KAPPL","Application"
"/NFM/COVER","ACTVT","Activity"
"/NFM/COVER","EKORG","Purchasing organization"
"/NFM/COVER","KNDNR","Customer number"
"/NFM/COVER","LIFNR",
"/NFM/COVER","VKORG","Sales organization"
"/NFM/KBB","ACTVT","Activity"
"/NFM/KBB","KAPPL","Application"
"/NFM/NES","ACTVT","Activity"
"/NFM/NES","KAPPL","Application"
"/NFM/NFDEF","ACTVT","Activity"
"/NFM/NFDEF","EKORG","Purchasing organization"
"/NFM/NFDEF","VKORG","Sales organization"
"/NFM/NFDEF","WERKS","Plant"
"/NFM/NFM","ACTVT","Activity"
"/NFM/NFNEB","ACTVT","Activity"
"/NFM/NFNEB","EKORG","Purchasing organization"
"/NFM/NFNEB","VKORG","Sales organization"
"/NFM/NFNEB","WERKS","Plant"
"/NFM/NFR","ACTVT","Activity"
"/NFM/NFS","ACTVT","Activity"
"/NFM/NFS","KAPPL","Application"
"/NFM/NKTYP","ACTVT","Activity"
"/NFM/NKTYP","KAPPL","Application"
"/NFM/NRRNG","ACTVT","Activity"
"/NFM/NRRNG","KAPPL","Application"
"/NFM/PROV","ACTVT","Activity"
"/NFM/PROV","BUKRS","Company code"
"/NFM/PROV","EKORG","Purchasing organization"
"/NFM/PROV","VKORG","Sales organization"
"/NFM/RATE","ACTVT","Activity"
"/NFM/RATE","BUKRS","Company code"
"/NFM/RATE","EKORG","Purchasing organization"
"/NFM/RATE","VKORG","Sales organization"
"/NFM/REPOR","BUKRS","Company code"
"/NFM/REPOR","EKORG","Purchasing organization"
"/NFM/REPOR","VKORG","Sales organization"
"/PSPRO/_US","ACTVT","Activity"
"/SAPCND/CC","/SAPCND/AP",
"/SAPCND/CC","/SAPCND/CT",
"/SAPCND/CC","/SAPCND/US",
"/SAPCND/CC","ACTVT","Activity"
"/SAPCND/CM","/SAPCND/AP",
"/SAPCND/CM","/SAPCND/CT",
"/SAPCND/CM","/SAPCND/TY",
"/SAPCND/CM","/SAPCND/US",
"/SAPCND/CM","ACTVT","Activity"
"/SAPCND/CO","ACTVT","Activity"
"/SAPCND/RC","/SAPCND/AP",
"/SAPCND/RC","/SAPCND/CT",
"/SAPCND/RC","/SAPCND/TY",
"/SAPCND/RC","/SAPCND/US",
"/SAPCND/RC","ACTVT","Activity"
"/SAPCND/SS","ACTVT","Activity"
"/SAPMP/RTS","WERKS","Plant"
"/SAPPO/FLT","/SAPPO/CMP",
"/SAPPO/FLT","/SAPPO/FLT",
"/SAPPO/FLT","ACTVT","Activity"
"/SAPPO/ORD","/SAPPO/BPR",
"/SAPPO/ORD","/SAPPO/CMP",
"/SAPPO/ORD","ACTVT","Activity"
"/SAPPO/WLA","/SAPPO/CMP",
"/SAPPO/WLA","ACTVT","Activity"
"/SDF/E2E","ACTVT","Activity"
"/SDF/TRACE","ACTVT","Activity"
"/SPE/AAC","/SPE/AAC",
"/SPE/AAC","ACTVT","Activity"
"/SPE/REF_C","EKORG","Purchasing organization"
"A_A_VIEW","VIEW","Asset view"
"A_B_ANLKL","ACTVT","Activity"
"A_B_ANLKL","ANLKL","Asset class"
"A_B_ANLKL","BUKRS","Company code"
"A_B_BWART","ANLKL","Asset class"
"A_B_BWART","BWASL","Asset transaction type"
"A_C_AFAPL","ACTVT","Activity"
"A_C_AFAPL","AFAPL","Chart of depreciaton for asset valuation"
"A_IM_EIS","IM_ACTSY","System activity IM authorization check"
"A_IM_EIS","KOKRS","Controlling area"
"A_IMA_ART","IM_ACTVT","Activity for authorization checks in Investment Management"
"A_IMA_ART","IM_IVART","Appropriation request type"
"A_IMA_BUK","BUKRS","Company code"
"A_IMA_BUK","IM_ACTVT","Activity for authorization checks in Investment Management"
"A_IMA_GSB","GSBER","Business area"
"A_IMA_GSB","IM_ACTVT","Activity for authorization checks in Investment Management"
"A_IMA_KOK","IM_ACTVT","Activity for authorization checks in Investment Management"
