Class,Name,Description
"MILL","/NFM/NFNEB","NF Default Values Mass Transaction"
"MILL","/NFM/NFR","NF Rate Determination Routines"
"MILL","/NFM/NFS","NF Rate Determination Key"
"MILL","/NFM/NKTYP","NF Condition Type - Condition Category/NF Key"
"MILL","/NFM/NRRNG","NF Number Range Maintenance"
"MILL","/NFM/PROV","NF Provisions"
"MILL","/NFM/RATE","NFM Rates"
"MILL","/NFM/REPOR","NF Reports"
"MM_B","/PSPRO/_US","Overwrite User Status Checks"
"AAAB","/SAPCND/CC","Condition Technique: Authorization Cross-Client Config."
"AAAB","/SAPCND/CM","Condition Technique: Condition Maintenance (Generic Part)"
"AAAB","/SAPCND/CO","Condition Technique: Field Catalog, Condition Table"
"AAAB","/SAPCND/RC","Condition Technique: Condition Maintenance (Release by Auth)"
"AAAB","/SAPCND/SS","Condition Technique: System Settings"
"MILL","/SAPMP/RTS","Define Sequence of Reel Types"
"PPO1","/SAPPO/FLT","Postprocessing Order Filter"
"PPO1","/SAPPO/ORD","Postprocessing Order"
"PPO1","/SAPPO/WLA","Assignment of Worklist"
"BC_A","/SDF/E2E","Authorization for end-to-end diagnostic"
"BC_A","/SDF/TRACE","Authorization for end-to-end trace"
"PM","/CUM/CPEDT","Authorization object for TA /CUM/DESIGN"
"PM","/CUM/EFEDT","Authorization object for TA /CUM/DESIGN"
"LO","/CWM/C_ACT","Activate Catch Weight Management in Client"
"LE_L","/CWM/L_INV","Automatic Transfer of SU During WM Inventory in HU Envrnmnt"
"DSD","/DSD/SL_TP","Cockpit and TDE: Authorization for Transport. Planning Point"
"DSD","/DSD/SL_WR","Cockpit and TDE: Authorization for Plant"
"DSD","/DSD/SV_LC","DSD Loading Confirmation"
"DSD","/DSD/TOUR","Direct Store Delivery: Tour status"
"DSD","/DSD/VC_VL","Visit Control - Visit Lists"
"DSD","/DSD/VC_VP","Visit Control - Visit Plans"
"IS_B","/FSCAA/CSL","FS-CAA Authorization Object"
"AAAB","/GC1/AUTH","Authorization for Garbage Collector"
"MILL","/NFM/BOESL","NF Exchange Key"
"MILL","/NFM/CO","NF Assignment: Controlling Area - Origin NF Key"
"MILL","/NFM/COND","Generate NF Condition Records"
"MILL","/NFM/COVER","NF Coverage"
