"Auth Object","Auth Object Description"
"/CUM/CPEDT","Authorization object for TA /CUM/DESIGN"
"/CUM/EFEDT","Authorization object for TA /CUM/DESIGN"
"/CWM/C_ACT","Activate Catch Weight Management in Client"
"/CWM/L_INV","Automatic Transfer of SU During WM Inventory in HU Envrnmnt"
"/DSD/SV_LC","DSD Loading Confirmation"
"/DSD/TOUR","Direct Store Delivery: Tour status"
"/DSD/VC_VL","Visit Control - Visit Lists"
"/DSD/VC_VP","Visit Control - Visit Plans"
"/FSCAA/CSL","FS-CAA Authorization Object"
"/GC1/AUTH","Authorization for Garbage Collector"
"/NFM/BOESL","NF Exchange Key"
"/NFM/CO","NF Assignment: Controlling Area - Origin NF Key"
"/NFM/COND","Generate NF Condition Records"
"/NFM/COVER","NF Coverage"
"/NFM/KBB","NF Movement Types for Provision"
"/NFM/NES","NF: Different NF Key"
"/NFM/NFDEF","NF Default Values"
"/NFM/NFM","NF Rate Determination Modules"
"/NFM/NFNEB","NF Default Values Mass Transaction"
"/NFM/NFR","NF Rate Determination Routines"
"/NFM/NFS","NF Rate Determination Key"
"/NFM/NKTYP","NF Condition Type - Condition Category/NF Key"
"/NFM/NRRNG","NF Number Range Maintenance"
"/NFM/PROV","NF Provisions"
"/NFM/RATE","NFM Rates"
"/NFM/REPOR","NF Reports"
"/PSPRO/_US","Overwrite User Status Checks"
"/SAPCND/CC","Condition Technique: Authorization Cross-Client Config."
"/SAPCND/CM","Condition Technique: Condition Maintenance (Generic Part)"
"/SAPCND/CO","Condition Technique: Field Catalog, Condition Table"
"/SAPCND/RC","Condition Technique: Condition Maintenance (Release by Auth)"
"/SAPCND/SS","Condition Technique: System Settings"
"/SAPMP/RTS","Define Sequence of Reel Types"
"/SAPPO/FLT","Postprocessing Order Filter"
"/SAPPO/ORD","Postprocessing Order"
"/SAPPO/WLA","Assignment of Worklist"
"/SDF/E2E","Authorization for end-to-end diagnostic"
"/SDF/TRACE","Authorization for end-to-end trace"
"/SPE/AAC","Account Assignment Categories"
"/SPE/REF_C","Allow background-creation of predeccessor documents via VL60"
"ACO_SUPER","Superuser per Object Category and Activity"
"ADPIC_RIC","Authorization object for MPN Restricted Interchangeability"
"AUDIT_AUTH","Authorizations in Audit Processing"
"A_A_VIEW","Asset: View"
"A_B_ANLKL","Asset Postings: Company Code/Asset Class"
"A_B_BWART","Asset Postings: Asset Class/Transaction Type"
"A_C_AFAPL","Asset Customizing: Chart of Depreciation"
"A_IMA_ART","Request Type for Appropriation Requests"
"A_IMA_BUK","Company Codes for Appropriation Requests"
"A_IMA_GSB","Business Areas for Appropriation Requests"
"A_IMA_KOK","Controlling Areas for Appropriation Requests"
"A_IMA_MSTA","User Status of Appropriation Requests"
"A_IMA_REQU","Requesting Area of Responsibility for Approp. Requests"
"A_IMA_RESP","Responsible Area of Responsibility for Approp. Requests"
"A_IMA_VSTA","User Status for Appropriation Request Variants"
"A_IMPR_APS","Approval Level for Versions (Program Planning)"
"A_IMPR_BUK","Company Codes for Investment Program Positions"
"A_IMPR_GSB","Business Areas for Investment Program Positions"
"A_IMPR_KOK","Controlling Areas for Investment Program Positions"
"A_IMPR_PRC","Profit Center for Investment Program Positions"
"A_IMPR_VER","Persons Resp. for Investment Program Positions"
"A_IMTP_ART","Program Type for Investment Programs"
"A_IMTP_SYS","System Activities for Program Types"
"A_IM_EIS","Controlling Area for Data Retrieval Program EIS"
"A_MPDMAP","Authorisation object for MPD Mapping Transaction"
"A_M_ANLKL","Asset Classes: Asset Classes"
"A_PERI_BUK","Asset Accounting: Authorizations for Periodic Processing"
"A_S_ANLGR","Group Asset"
"A_S_ANLKL","Asset Master Data Maint: Company Code/Asset Class"
"A_S_GSBER","Asset Master Data Maintenance: Company Code/Business Area"
"A_S_KOSTL","Asset Master Record Maintenance: Company Code/Cost Center"
"A_S_WERK","Asset Master Data Maintenance: Company Code/Plant"
"BRF_AUTH","BRF: Test Authorization"
"BRF_STNDRD","BRF: Standard Authorization Object"
"BSP_APPL","Authorization for BSP Applications"
"BV_SR_TCOD","Sales Returns - Authorization Check at Transaction Level"
"B_ALE_CGRP","ALE Customizing Distribution: Group Activities"
"B_ALE_LSYS","ALE/EDI: Maintaining Logical Systems"
"B_ALE_MAST","ALE/EDI: Distribute Master Data"
"B_ALE_MODL","ALE: Distribution Model Maintenance"
"B_ALE_RECV","ALE/EDI: Receiving IDocs via RFC"
"B_ALE_REDU","ALE/EDI: Generating Messages (For Example, Reduction)"
"B_ASU_ADMI","Application Specific Upgrade:  Authorization Content Version"
"B_BSFC","FS-CM: Authorization for Facts Capture (SFC)"
"B_BUPA_ATT","Business Partner: Authorization Types"
"B_BUPA_CRI","FS Business Partner: BP Role Category / Differentiation Type"
"B_BUPA_FDG","Business Partner: Field Groups"
"B_BUPA_GRP","Business Partner: Authorization Groups"
"B_BUPA_PGM","Grouping Characteristic for SAP BP-FS"
"B_BUPA_RLT","Business Partner: BP Roles"
"B_BUPA_SLV","Selection Variant for Total Commitment"
"B_BUPR_BZT","Business Partner Relationships: Relationship Categories"
"B_BUPR_FDG","Business Partner Relationships: Field Groups"
"B_CARD_SEC","Authorization Encryption Card Master"
"B_CCARD","Payment Cards"
"B_CCSEC","Unmasked Display of Credit Card Numbers"
"B_CLEAR","Data Cleansing"
"B_DECTREE","Decision Tree Maintenance"
"B_DX","SAPDXfer: Central Tools - Initial Data Transfer"
"B_EMMA_CAS","Case Authorization"
"B_EMMA_LOG","Job Authorization"
"B_EM_TCODE","Logistics - Check Transaction Code at Start of Transaction"
"B_FOX","FOX Explosion Framework"
"B_LSMW","LSMW: Transaction and Activity"
"B_LSMW_PRO","LSMW: Project"
"B_MASSMAIN","Cross-Application Mass Maintenance Tool"
"B_NOTIF","Follow-Up Functions for General Notifications"
"B_NOTIF_BC","Follow-Up Functions for Notifications"
"B_NOT_TASK","Access to Tasks in General Notifications"
"B_PCONTACT","Partner Contact Management"
"B_PROD_COM","General Authorization for Products"
"B_SMAN_SEQ","Schedule Manager: Flow Definitions"
"B_SMAN_WPL","Schedule Manager: Authorizations for Task Lists"
"B_UPS","ALE Distribution Packet"
"B_UPS_CUS","ALE Distribution Unit: Customizing"
"B_USERSTAT","Status Management: Set/Delete User Status"
"B_USERST_T","Status Management: Set/Delete User Status using Transaction"
"B_V2_TCODE","Excise Duty - Check Transaction Code at Start of Transaction"
"B_V2_TWH","Authorization for Tax Type and Tax Warehouse"
"B_VEM","Empties"
"B_VSR","Sales Returns"
"B_VTS","Edit Part Load Lift Orders"
"CA_GKFMADM","Key Figures in Generic Key Figure Monitor (Administrator)"
"CA_GKFMUSR","Key Figures in Generic Key Figure Monitor (User)"
"CA_KPIADM","Admin. Authorizations for Key Figures in KPI Watch List"
"CA_KPIUSR","User Authorizations for KPIs in KPI Watch List"
"CA_POWL","authorizations for Personal Object Work List (POWL) iViews"
"CMS_CAG","Authorization object for CAG"
"CMS_OMS","Authorization for all OMSs other than Real estate (Obsolete)"
"CMS_OMS1","Authorization for all OMSs other than Real estate (New)"
"CMS_PCN_01","Authorization for activities(Normal mode)"
"CMS_PCN_02","Authorization for activities(Change request mode)"
"CMS_RBL","Authorization object for receivable in CMS"
"CMS_RE","Authorization object for Real estate objects in CMS"
"CMX_XS","XSteps: Authorization Object"
"CMX_XSR","SXS Repository: Authorization Object"
"COM_ALTID","Authorization Object for Alternative IDs"
"COM_ASET","Set Types/Attributes: General Authorizations"
"COM_CAT","Categories: General Authorizations"
"COM_CAT_CF","Categories: Authorization for Configuration-Relevant Data"
"COM_HIER","Hierarchies: General Authorizations"
"COM_IL","Authorization Check for Interlinkages"
"COM_PRD","Product Master: General Authorization"
"COM_PRD_CT","Product Master: Authorization for Category"
"CPE_COVER","Coverages for Commodity Pricing Engine"
"CPE_DOCDAT","Document Data for Commodity Pricing Engine"
