"OBJCT","FIEL1","FIEL2","FIEL3","FIEL4","FIEL5","FIEL6","FIEL7","FIEL8","FIEL9","FIEL0","OCLSS","BNAME","FBLOCK","CONVERSION","TTEXT"
"/CUM/CPEDT","/CUM/DSTYP","IWERK","AUFART",,,,,,,,,,,,
"/CUM/EFEDT","/CUM/DSTYP","IWERK","AUFART",,,,,,,,,,,,
"/CWM/C_ACT","ACTVT",,,,,,,,,,,,,,
"/CWM/L_INV","ACTVT",,,,,,,,,,,,,,
"/DSD/SL_TP","TPLST",,,,,,,,,,,,,,
"/DSD/SL_WR","WERKS",,,,,,,,,,,,,,
"/DSD/SV_LC","/DSD/LCROL","ACTVT",,,,,,,,,,,,,
"/DSD/TOUR","ACTVT","/DSD/SCEN",,,,,,,,,,,,,
"/DSD/VC_VL","/DSD/VPTYP","/DSD/VROUT","/DSD/VAUTH","ACTVT",,,,,,,,,,,
"/DSD/VC_VP","/DSD/VPTYP","/DSD/VROUT","/DSD/VAUTH","ACTVT",,,,,,,,,,,
"/FSCAA/CSL","RFC_NAME",,,,,,,,,,,,,,
"/GC1/AUTH","ACTVT","/GC1/OBJTP","/GC1/OBJNM","/GC1/DATCO",,,,,,,,,,,
"/NFM/BOESL","ACTVT",,,,,,,,,,,,,,
"/NFM/CO","ACTVT",,,,,,,,,,,,,,
"/NFM/COND","KAPPL",,,,,,,,,,,,,,
"/NFM/COVER","VKORG","EKORG","KNDNR","LIFNR","ACTVT",,,,,,,,,,
"/NFM/KBB","KAPPL","ACTVT",,,,,,,,,,,,,
"/NFM/NES","KAPPL","ACTVT",,,,,,,,,,,,,
"/NFM/NFDEF","WERKS","VKORG","EKORG","ACTVT",,,,,,,,,,,
"/NFM/NFM","ACTVT",,,,,,,,,,,,,,
"/NFM/NFNEB","WERKS","VKORG","EKORG","ACTVT",,,,,,,,,,,
"/NFM/NFR","ACTVT",,,,,,,,,,,,,,
"/NFM/NFS","KAPPL","ACTVT",,,,,,,,,,,,,
"/NFM/NKTYP","KAPPL","ACTVT",,,,,,,,,,,,,
"/NFM/NRRNG","KAPPL","ACTVT",,,,,,,,,,,,,
"/NFM/PROV","VKORG","EKORG","BUKRS","ACTVT",,,,,,,,,,,
"/NFM/RATE","VKORG","EKORG","BUKRS","ACTVT",,,,,,,,,,,
"/NFM/REPOR","VKORG","EKORG","BUKRS",,,,,,,,,,,,
"/PSPRO/_US","ACTVT",,,,,,,,,,,,,,
"/SAPCND/CC","ACTVT","/SAPCND/AP","/SAPCND/US","/SAPCND/CT",,,,,,,,,,,
"/SAPCND/CM","ACTVT","/SAPCND/AP","/SAPCND/US","/SAPCND/CT","/SAPCND/TY",,,,,,,,,,
"/SAPCND/CO","ACTVT",,,,,,,,,,,,,,
"/SAPCND/RC","ACTVT","/SAPCND/AP","/SAPCND/US","/SAPCND/CT","/SAPCND/TY",,,,,,,,,,
"/SAPCND/SS","ACTVT",,,,,,,,,,,,,,
"/SAPMP/RTS","WERKS",,,,,,,,,,,,,,
"/SAPPO/FLT","/SAPPO/CMP","/SAPPO/FLT","ACTVT",,,,,,,,,,,,
"/SAPPO/ORD","/SAPPO/CMP","/SAPPO/BPR","ACTVT",,,,,,,,,,,,
"/SAPPO/WLA","/SAPPO/CMP","ACTVT",,,,,,,,,,,,,
"/SDF/E2E","ACTVT",,,,,,,,,,,,,,
"/SDF/TRACE","ACTVT",,,,,,,,,,,,,,
"/SPE/AAC","/SPE/AAC","ACTVT",,,,,,,,,,,,,
"/SPE/REF_C","EKORG",,,,,,,,,,,,,,
"ACO_SUPER","ACO_ACT_S","ACO_OTYP_S",,,,,,,,,,,,,
"ADPIC_RIC","ACTVT","PRC_CODE",,,,,,,,,,,,,
"AUDIT_AUTH","AUD_AUTHGR","AUDITACTVT","AUDIT_TYPE",,,,,,,,,,,,
"A_A_VIEW","VIEW",,,,,,,,,,,,,,
"A_B_ANLKL","ANLKL","BUKRS","ACTVT",,,,,,,,,,,,
"A_B_BWART","ANLKL","BWASL",,,,,,,,,,,,,
"A_C_AFAPL","AFAPL","ACTVT",,,,,,,,,,,,,
"A_IMA_ART","IM_IVART","IM_ACTVT",,,,,,,,,,,,,
"A_IMA_BUK","BUKRS","IM_ACTVT",,,,,,,,,,,,,
"A_IMA_GSB","GSBER","IM_ACTVT",,,,,,,,,,,,,
"A_IMA_KOK","KOKRS","IM_ACTVT",,,,,,,,,,,,,
"A_IMA_MSTA","ESTAT","IM_ACTVT","STSMA",,,,,,,,,,,,
"A_IMA_REQU","RESPAREA","CO_ACTION",,,,,,,,,,,,,
"A_IMA_RESP","RESPAREA","CO_ACTION",,,,,,,,,,,,,
"A_IMA_VSTA","ESTAT","IM_ACTVT","STSMA",,,,,,,,,,,,
"A_IMPR_APS","IM_APPST","IM_ACTVT",,,,,,,,,,,,,
"A_IMPR_BUK","BUKRS","IM_ACTVT",,,,,,,,,,,,,
"A_IMPR_GSB","GSBER","IM_ACTVT",,,,,,,,,,,,,
"A_IMPR_KOK","KOKRS","IM_ACTVT",,,,,,,,,,,,,
"A_IMPR_PRC","PRCTR","IM_ACTVT",,,,,,,,,,,,,
"A_IMPR_VER","VERNR","IM_ACTVT",,,,,,,,,,,,,
"A_IMTP_ART","PRART","IM_ACTVT",,,,,,,,,,,,,
"A_IMTP_SYS","PRART","IM_ACTSY",,,,,,,,,,,,,
"A_IM_EIS","KOKRS","IM_ACTSY",,,,,,,,,,,,,
"A_MPDMAP","ACTVT","MPD_FCODE",,,,,,,,,,,,,
"A_M_ANLKL","ANLKL","ACTVT",,,,,,,,,,,,,
"A_PERI_BUK","AM_ACT_PER","BUKRS",,,,,,,,,,,,,
"A_S_ANLGR","BUKRS","ACTVT",,,,,,,,,,,,,
"A_S_ANLKL","ANLKL","BUKRS","ACTVT",,,,,,,,,,,,
"A_S_GSBER","BUKRS","GSBER",,,,,,,,,,,,,
"A_S_KOSTL","BUKRS","KOSTL",,,,,,,,,,,,,
"A_S_WERK","BUKRS","WERKS",,,,,,,,,,,,,
"BRF_AUTH","BRF_ACTVT","BRF_CAT","BRF_ACLASS",,,,,,,,,,,,
"BRF_STNDRD","BRF_ACLASS","BRF_ACTVT","BRF_CAT","BRF_GROUP",,,,,,,,,,,
"BSP_APPL","BSP_APPL","BSP_VIEW",,,,,,,,,,,,,
"BV_SR_TCOD","TCD","ACTVT",,,,,,,,,,,,,
"B_ALE_CGRP","ACTVT","GROUP_CUST",,,,,,,,,,,,,
"B_ALE_LSYS","LOGSYS",,,,,,,,,,,,,,
"B_ALE_MAST","EDI_MES",,,,,,,,,,,,,,
"B_ALE_MODL","ACTVT","CUSTMODEL",,,,,,,,,,,,,
"B_ALE_RECV","EDI_MES",,,,,,,,,,,,,,
"B_ALE_REDU","REFMESTYP","EDI_MES",,,,,,,,,,,,,
"B_ASU_ADMI","/ASU/SCEN","/ASU/VERSN","ACTVT",,,,,,,,,,,,
"B_BSFC","BSFC_APPL","ACTVT",,,,,,,,,,,,,
"B_BUPA_ATT","ACTVT","AUTHTYP","AUVAL1","AUVAL2",,,,,,,,,,,
