RoleName,Platform,TCode,ComparisonType
ZSF_GENERALUSER_GO,PR1,SBWP,tcode
ZSF_GENERALUSER_GO,PR1,SDV,tcode
ZSF_GENERALUSER_GO,PR1,SEARCH_SAP_MENU,tcode
ZSF_GENERALUSER_GO,PR1,SEARCH_USER_MENU,tcode
ZSF_GENERALUSER_GO,PR1,SM37,tcode
ZSF_GENERALUSER_GO,PR1,SM37B,tcode
ZSF_GENERALUSER_GO,PR1,smx_,tcode
ZSF_GENERALUSER_GO,PR1,SO00,tcode
ZSF_GENERALUSER_GO,PR1,SO01,tcode
ZSF_GENERALUSER_GO,PR1,SO07,tcode
ZSF_GENERALUSER_GO,PR1,SO10,tcode
ZSF_GENERALUSER_GO,PR1,SO21,tcode
ZSF_GENERALUSER_GO,PR1,SO23,tcode
ZSF_GENERALUSER_GO,PR1,SO36,tcode
ZSF_GENERALUSER_GO,PR1,SOBN01,tcode
ZSF_GENERALUSER_GO,PR1,SOcp,tcode
ZSF_GENERALUSER_GO,PR1,SP02,tcode
ZSF_GENERALUSER_GO,PR1,SSC0,tcode
ZSF_GENERALUSER_GO,PR1,SSC1,tcode
ZSF_GENERALUSER_GO,PR1,SU3,tcode
ZSF_GENERALUSER_GO,PR1,SU53,tcode
ZSF_GENERALUSER_GO,PR1,SWIA,tcode
ZSF_GENERALUSER_GO,PR1,ZUSR,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,PR05,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,S00,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,SSC0,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,SSC1,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,SWO_ASYNC,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,TRIP,tcode
ZSF_TRAVELEXPENSEAPPROVER_GO,PR1,TRIP_EWT,tcode
ZSF_TRAVELEXPENSEREQUESTOR_GO,PR1,PR05,tcode
