Application,Process,SubProcess,BusRole,Business Role Description,Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,Microsoft Instant Messaging - OCS,Microsoft,Defined by BIS Security,Defined by BIS Security,N/A,N/A,N/A,,,Account entitlements standard for BIS Security build,PRIV:OCS:MICROSOFT&OCS&ocsvalid,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,N/A,Job Function,SAP R/3 Production,PR1,SAP Role,ZSF_PRICINGPERFORMER_NA,,,,,,,PRIV:ROLE:SAP_PR1_100:ZSF_PRICINGPERFORMER_NA,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,CENTRAL,,,,PRIV:PAT_PRODUCTION:CENTRAL&Promotion Control,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,EAST,,,,PRIV:PAT_PRODUCTION:EAST&Promotion Control,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,SOUTH,,,,PRIV:PAT_PRODUCTION:SOUTH&Promotion Control,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,WEST,,,,PRIV:PAT_PRODUCTION:WEST&Promotion Control,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Promotion Control,N/A,DIVISION_DESC,CANADA,,, ,PRIV:PAT_PRODUCTION:CANADA&Promotion Control,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,CENTRAL,,,Add an entitlement,PRIV:PAT_PRODUCTION:CENTRAL&Author,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,EAST,,,Add an entitlement,PRIV:PAT_PRODUCTION:EAST&Author,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,SOUTH,,,Add an entitlement,PRIV:PAT_PRODUCTION:SOUTH&Author,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,WEST,,,Add an entitlement,PRIV:PAT_PRODUCTION:WEST&Author,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Author,N/A,DIVISION_DESC,CANADA,,,Add an entitlement,PRIV:PAT_PRODUCTION:CANADA&Author,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Requestor,N/A,DIVISION_DESC,CENTRAL,,,Add an entitlement,PRIV:PAT_PRODUCTION:CENTRAL&Requestor,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Requestor,N/A,DIVISION_DESC,EAST,,,Add an entitlement,PRIV:PAT_PRODUCTION:EAST&Requestor,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Requestor,N/A,DIVISION_DESC,SOUTH,,,Add an entitlement,PRIV:PAT_PRODUCTION:SOUTH&Requestor,,
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Requestor,N/A,DIVISION_DESC,WEST,,,Add an entitlement,PRIV:PAT_PRODUCTION:WEST&Requestor
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,PAT,Oracle,ROLE_NAME,Requestor,N/A,DIVISION_DESC,CANADA,,,Add an entitlement,PRIV:PAT_PRODUCTION:CANADA&Requestor
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,N/A,Job Function,NA AS/400 -Indirect Sales System (),GAACF1A4,Group Profile,CMAOBJOWNR,N/A,N/A,N/A,,,,PRIV:AS4_GAACF1A4:*USER&*CRTDFT&FXINIT&FLEXPOBJ&FX000M&*LIBL&*YES&*NONE&CMAOBJOWNR&*GRPPRF&*NONE
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,NA Margin Minder - CCE Array,Third party application,user_group,MM_Standard,N/A,N/A,N/A,,,N/A,PRIV:NA_Margin_Minder:cce_array&MM_Standard&N/A
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,NA Filenet Ice Cold Plus,AD - nacokecce,Active Directory Group,AppGAFNT-ARUSUsers,N/A,N/A,N/A,,,,PRIV:AD_NACOKECCE:FILENET&AppGAFNT-ARUSUsers
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,NA Filenet Ice Cold Plus,AD - nacokecce,Active Directory Group,AppGAFNT-ARCAUsers,N/A,N/A,N/A,,,,PRIV:AD_NACOKECCE:FILENET&AppGAFNT-ARCAUsers
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,NA Filenet Ice Cold Plus,AD - nacokecce,Active Directory Group,AppGAFNT-APInvUsers,N/A,N/A,N/A,,,,PRIV:AD_NACOKECCE:FILENET&AppGAFNT-APInvUsers
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&AMSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&HHNSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&HHSSPEC&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OESAMP&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OEUSER&*ALL
(unset),CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OMSPEC&*ALL
