Application,Process,SubProcess,BusRole,Business Role Description,Standard Activity,Type,System,Platform,Entitlement Description,Entitlement Value,Authorization Object,Field-Level Security Name,Field-Level Security Value,4th Level Security Name,4th Level Security Value,Additional Comments,
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CALAF1A4,CALAF1A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CALAF1A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CALAF2A4,CALAF2A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CALAF2A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CALAF3A4,CALAF3A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CALAF3A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CALAF4A4,CALAF4A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CALAF4A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CALAF5A4,CALAF5A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CALAF5A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - CIN1S1,CIN1S1,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_CIN1S1:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - EAG1S2,EAG1S2,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_EAG1S2:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - GAACF5A4,GAACF5A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_GAACF5A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - GAACF7A4,GAACF7A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_GAACF7A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - GAFE1A4,GAFE1A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_GAFE1A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - GANC3A4,GANC3A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_GANC3A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - LEN1S1,LEN1S1,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_LEN1S1:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - LEN1S2,LEN1S2,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_LEN1S2:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - MACCF2A4,MACCF2A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_MACCF2A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - MACM1A4,MACM1A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_MACM1A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - MACM2A4,MACM2A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_MACM2A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - MANYC1A4,MANYC1A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_MANYC1A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
AS400,CCM,Pricing,FNC_OTC_Pricing_Full_Service_Specialist_NA,Pricing Full Service Specialist - North America,N/A,Job Function,NA AS/400 - TADAL2A4,TADAL2A4,Group Profile,BASISXX,N/A,N/A,N/A,,,,PRIV:AS4_TADAL2A4:*USER&*CRTDFT&XXINIT&*LIBL&*SIGNOFF&&*YES&*NONE&BASISXX&*GRPPRF&*NONE
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,AMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&AMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,HHNSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&HHNSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,HHSSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&HHSSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OESAMP,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OESAMP&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OEUSER,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OEUSER&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,OMSPEC,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&OMSPEC&*ALL
BASIS,CCM,Pricing,FNC_OTC_Pricing_Performer_NA,Pricing Performer - North America,TBD,Job Function,01-WARE SALES,GAFE1A4,DEPTACCESS,SMINQ,DEPT - AMM,MENU,BASIS20,,,,PRIV:BAS_GAFE1A4:01-WARE SALES&AMM&BASIS20&SMINQ&*ALL
